"The increase or the decrease in power is always in comparison to a baseline situation. For instance, when we say that alpha power decreases when someone is awake, this would mean that power is lower than compared to when that person is asleepâ€“asleep would be the baseline. Another example: if alpha power decreases when we see someone in pain, this would mean that alpha power is lower compared with when we see someone who is not in pain. In this example, the brain's response to the person who is not in pain would be the baseline. Previous studies showed that the decrease and the increase in alpha power both have different functions. However, scientists have been working on figuring out the exact meaning of these changes in alpha power. So, looking at the alpha rhythm is informative for better understanding how the brain operates in different contexts. When seeing someone in pain, the brain can respond by alpha power increase (red circle) or by alpha power decrease (blue circle). But when the other is not in pain, the brain does not respond with either of the two activation types.",2.0
"The normal and characteristic occupations of the class in this mature phase of its life history are in form very much the same as in its earlier days. These occupations are government, war, sports, and devout observances. Persons unduly given to difficult theoretical niceties may hold that these occupations are still incidentally and indirectly ""productive""; but it is to be noted as decisive of the question in hand that the ordinary and ostensible motive of the leisure class in engaging in these occupations is assuredly not an increase of wealth by productive effort. At this as at any other cultural stage, government and war are, at least in part, carried on for the pecuniary gain of those who engage in them; but it is gain obtained by the honourable method of seizure and conversion. These occupations are of the nature of predatory, not of productive, employment. Something similar may be said of the chase, but with a difference. As the community passes out of the hunting stage proper, hunting gradually becomes differentiated into two distinct employments.",2.0
"It happened that, on the very day she was fifteen years old, the king and queen were not at home, and she was left alone in the palace. So she roved about by herself, and looked at all the rooms and chambers, till at last she came to an old tower, to which there was a narrow staircase ending with a little door. In the door there was a golden key, and when she turned it the door sprang open, and there sat an old lady spinning away very busily. â€˜Why, how now, good mother,' said the princess; â€˜what are you doing there?' â€˜Spinning,' said the old lady, and nodded her head, humming a tune, while buzz! went the wheel. â€˜How prettily that little thing turns round!' said the princess, and took the spindle and began to try and spin. But scarcely had she touched it, before the fairy's prophecy was fulfilled; the spindle wounded her, and she fell down lifeless on the ground.",0.0
"The paper has the following advantages: First. The sensitive coating is regular, and its thickness is uniform throughout the entire surface of each sheet. Second. It can be exposed for a luminous impression in any kind of slide as usually constructed. Third. It can be developed and fixed as easily as a negative on glass. Fourth. The negative obtained dries quite flat on blotting paper. Fifth. The film which constitutes the negative can be detached or peeled from its support or backing easily and readily by the hand, without the assistance of any dissolving or other agent. Thus this invention does away with all sensitive preparations on glass, which latter is both a brittle and relatively heavy material, thus diminishing the bulk and weight of amateur and scientific photographers' luggage when traveling; it produces photographic negatives as fine and as transparent as those on glass, in so much that the film does not contain any grain; and, lastly, it admits of printing from either face of the film, as regards the production of positives on paper or other material, as well as plates for phototypy and photo-engraving, which latter processes require a negative to be reversed. ",2.0
"Rejected by a large majorityâ€”I mean, elected by a large majority."" Roy Blakeley gathered up the ballots in his two hands, dropped them into the shoe box and pushed the box across the table to Mr. Ellsworth as if the matter were finally settled. ""Honorable Roy Blakeley,"" he added, ""didn't even carry his own patrol."" This humiliating confession, offered in Roy's gayest manner, was true. The Silver Foxes had turned from their leader and, to a scout, voted for Tom Slade. It was hinted that Roy himself was responsible for this, but he was a good politician and would not talk. There was also a dark rumor that a certain young lady was mixed up in the matter and it is a fact that only the night before Roy and Mary Temple had been seen in earnest converse on the wide veranda at Grantley Square by Pee-wee Harris, who believed that a scout should be observant.",1.0
"Outer space has very low density and pressure, and is the closest physical approximation of a perfect vacuum. But no vacuum is truly perfect, not even in interstellar space, where there are still a few hydrogen atoms per cubic meter. Stars, planets, and moons keep their atmospheres by gravitational attraction, and as such, atmospheres have no clearly delineated boundary: the density of atmospheric gas simply decreases with distance from the object. The Earth's atmospheric pressure drops to about 3.2Ã—10-2 Pa at 100 kilometres (62 mi) of altitude, the KÃ¡rmÃ¡n line, which is a common definition of the boundary with outer space. Beyond this line, isotropic gas pressure rapidly becomes insignificant when compared to radiation pressure from the Sun and the dynamic pressure of the solar winds, so the definition of pressure becomes difficult to interpret. The thermosphere in this range has large gradients of pressure, temperature and composition, and varies greatly due to space weather. Astrophysicists prefer to use number density to describe these environments, in units of particles per cubic centimetre.",2.0
"One day mousie managed to get his door open and scamper off. Then Ida cried and cried, and was afraid her dear mousie would starve. But after a day or two, as grandma was going upstairs, she saw little mousie hopping up ahead of her. He ran into Ida's closet. Ida brought the cage; and mamma and grandma made mousie run into it.
""Perhaps it is not the same mouse,"" said grandma. ""Oh, yes, it is!"" said Ida. ""I know him by his sore nose."" Ida took good care of mousie till warm weather came, and it was time to go into the country for the summer. Then she took the cage outside the back-gate and opened mousie's door. Mousie was very quiet at first; but soon he peeped out, and, seeing nothing to hinder, he ran away as fast as his little legs could carry him. I am glad that he was set free; for I do not think he was happy in the cage. I hope he will keep away from traps and cats, and live to a good old age.",0.0
"An earthquake valve (or seismic valve) is an automatic method to shut off the low pressure regulated gas supply to a structure during a major earthquake and/or if a pipe is broken. These are applicable both to utility-supplied natural gas and to gas from liquefied petroleum gas (LPG). These small devices are installed on the property gas meter (usually between the utility company's metered installation and the structure piping) and are designed to instantly stop the natural gas supply in order to protect the structure if a gas leak or line break occurs during an earthquake. Fires or explosions due to gas line breaks can be more damaging than the actual earthquake itself. Gas supply companies recommend that the gas supply be cut off immediately if there is a smell of gas after an earthquake; if nobody is in place to do this, an unattended earthquake valve will instantly cut off the gas.",1.0
"When a whaling ship is beset in the ice of Davis Straits, there is little work for her second engineer, once the engines have been nicely tallowed down. Now, I am no man that can sit in his berth and laze. If I've no work to do, I get a-thinking about my home at Ballindrochater and the ministry, which my father intended I should have adorned, and what a fool I've made of myself, and this is depressing. I was not over-popular already on the Gleaner on account of some prophecies I had made in anger, which had unfortunately come true. The crew, and the captain, too, had come to fear my prophetic powers. At last I bethought me of sporting on the ice. There was head-money offered for all bears, foxes, seals, musk-oxen, and such like that were shot and gathered. So I went to the skipper, and he gave me a Henry rifle, well rusted, and eight cartridges.""",2.0
"The same Captain of Engineers has undertaken a series of very interesting experiments on the sensitiveness to light of one or two substances to which bitumen probably owes its sensitiveness, but which, contrary to what takes place with bitumen, are capable of rendering very beautiful half tones, both on polished zinc and on albumenized paper. These sensitive substances are extracted by dissolving marine glue or coal-tar in benzine. By exposure to light, both marine-glue and coal-tar turn of a sepia color, and, in a printing-frame, they render a visible image, which is not the case with bitumen; their solvents are in the order of their energy; chloroform, ether, benzine, turpentine, petroleum spirit, and alcohol. Of these solvents, benzine is the best adapted for reducing the substances to a fluid state, so as to enable them to flow over the zinc. The images obtained, which are permanent, and which are very much like those of the Daguerreotype, are fixed by means of the turpentine and petroleum spirit. They are washed with water, and then carefully dried. It is possible to obtain prints with half-tones in fatty ink by means of plates of zinc coated with marine-glue.",2.0
